EnsemblId,gene_name,biotype,logFC,FDR,AveExpr,P.value
ENSG00000118785,SPP1,protein_coding,8.63059309,2.67E-10,4.142134569,1.75E-14
ENSG00000006042,TMEM98,protein_coding,0.599230642,1.48E-08,5.983687463,1.94E-12
ENSG00000164124,TMEM144,protein_coding,1.501607478,2.43E-07,3.220004694,4.78E-11
ENSG00000233251,ENSG00000233251,lncRNA,1.772771398,4.59E-07,2.092096538,1.20E-10
ENSG00000163630,SYNPR,protein_coding,3.437669167,1.11E-05,1.737333435,3.65E-09
ENSG00000105655,ISYNA1,protein_coding,-0.896062228,1.94E-05,6.990081327,7.65E-09
ENSG00000166922,SCG5,protein_coding,2.637056148,3.28E-05,1.173580307,1.50E-08
ENSG00000153944,MSI2,protein_coding,0.283642926,4.26E-05,8.585166636,2.23E-08
ENSG00000055813,CCDC85A,protein_coding,1.287790666,4.93E-05,3.892512236,4.79E-08
ENSG00000072274,TFRC,protein_coding,-1.381832697,4.93E-05,8.49052112,4.14E-08
ENSG00000101460,MAP1LC3A,protein_coding,0.796623726,4.93E-05,2.602519549,3.84E-08
ENSG00000108515,ENO3,protein_coding,-0.87621669,4.93E-05,2.932221921,3.86E-08
ENSG00000136643,RPS6KC1,protein_coding,-0.234190813,4.93E-05,5.281660856,4.73E-08
ENSG00000166147,FBN1,protein_coding,3.054996217,4.93E-05,3.886021335,4.85E-08
ENSG00000167081,PBX3,protein_coding,0.48604794,4.93E-05,6.084694995,3.52E-08
ENSG00000152402,GUCY1A2,protein_coding,-1.23282074,5.56E-05,7.918048193,6.28E-08
ENSG00000155886,SLC24A2,protein_coding,-1.152072291,5.56E-05,6.796910771,6.56E-08
ENSG00000196781,TLE1,protein_coding,0.556010839,5.56E-05,5.843603354,6.18E-08
ENSG00000144908,ALDH1L1,protein_coding,3.005864204,9.45E-05,1.634826279,1.18E-07
ENSG00000120156,TEK,protein_coding,-2.124252078,0.000110639,1.702976121,1.45E-07
ENSG00000157152,SYN2,protein_coding,-0.899733306,0.000150862,5.602546892,2.08E-07
ENSG00000115414,FN1,protein_coding,6.693337525,0.000157691,7.200085819,2.28E-07
ENSG00000071205,ARHGAP10,protein_coding,0.729436669,0.000192236,5.991253151,3.19E-07
ENSG00000112137,PHACTR1,protein_coding,1.769386881,0.000192236,0.798854058,3.22E-07
ENSG00000136235,GPNMB,protein_coding,4.629461185,0.000192236,4.293236445,3.02E-07
ENSG00000137070,IL11RA,protein_coding,0.591846829,0.000192236,5.312496631,3.56E-07
ENSG00000152953,STK32B,protein_coding,2.45370124,0.000192236,1.575931793,3.56E-07
ENSG00000182511,FES,protein_coding,1.267091608,0.000192236,0.730591223,3.66E-07
ENSG00000271894,ENSG00000271894,lncRNA,1.326733876,0.000192236,1.740364568,3.63E-07
ENSG00000035664,DAPK2,protein_coding,2.121330093,0.000205167,1.435878607,4.04E-07
ENSG00000154511,DIPK1A,protein_coding,-0.367079517,0.000250068,5.946665703,5.08E-07
ENSG00000148734,NPFFR1,protein_coding,2.120717141,0.000254965,2.239775271,5.35E-07
ENSG00000175352,NRIP3,protein_coding,0.651241557,0.000263915,8.36419642,5.88E-07
ENSG00000196396,PTPN1,protein_coding,0.461811492,0.000263915,5.956743327,5.84E-07
